Blog	four	looking	second	k	music	until	example	want	wrong	series	re	wasn	service	needed	project	came	best	asked	much	life	things	big	had	easy	possible	right	old	support	happy	offer	team	along	love	working	following	such	data	st	years	didn	internet	million	quite	open	city	future	saw	note	take	going	where	many	photos	being	rest	around	traffic	world	favorite	her	am	having	original	tv	th	large	small	past	full	pick	via	company	learn	information	its	always	found	really	major	number	self	also	play	sometimes	set	see	movie	available	whole	community	read	recent	person	amp	d	continue	anything	into	next	link	line	posted	us	ago	results	try	video	let	great	makes	tools	process	high	doing	books	could	david	start	system	haven	face	fact	should	hope	means	stuff	edition	email	ve	site	android	less	web	five	become	problem	told	word	work	interview	after	order	office	them	network	another	john	do	away	com	photo	thanks	night	security	comments	post	months	book	people	way	update	together	change	live	december	write	remember	still	non	half	now	space	shows	care	yourself	ways	mostly	than	online	only	between	article	comes	learning	actually	these	media	real	rules	early	using	business	aren	lot	trying	month	very	learned	family	takes	history	help	soon	event	since	reason	put	american	off	mobile	clear	pretty	during	x	close	won	probably	both	else	look	while	design	used	game	popular	within	similar	doesn	e	youtube	go	does	facebook	click	products	started	control	links	software	including	him	front	keep	art	long	need	able	based	course	she	computer	written	attention	key	police	well	page	twitter	home	noticed	north	he	friends	companies	even	ever	never	call	tell	give	amazing	before	personal	better	weeks	went	side	content	isn	user	mind	seen	don	m	stop	bad	said	against	appeared	three	tiny	website	say	if	make	left	human	yes	yet	save	down	digital	daily	finally	did	run	making	may	man	maybe	talk	nbsp	group	interesting	earlier	thing	think	first	little	anyone	were	show	enough	get	nearly	morning	behind	reading	according	among	those	then	different	pay	same	money	audience	either	videos	general	again	important	u	public	search	two	share	needs	technology	coming	already	through	house	hard	idea	done	least	part	believe	build	most	find	giant	please	point	simple	simply	create	understand	talking	itself	spent	source	bit	google	often	back	use	forward	single	entire	others	later	ll	day	red	text	national	taking	almost	thought	latest	add	smart	works	actual	buy	minutes	special	under	every	school	changes	would	phone	me	times	end	over	writing	each	got	free	days	top	too	tool	took	though	watch	amazon	report	however	news	several	social	everything	christmas	check	no	when	posts	iphone	today	happened	name	turn	place	given	white	any	sure	state	come	case	myself	good	week	without	seems	blog	everyone	there	program	far	sony	list	version	known	short	might	feel	says	story	kind	nothing	his	hit	wrote	c	political	questions	customers	question	called	users	once	issues	apple	app	few	something	six	instead	looks	our	york	their	which	who	why	looked	local	words	view	stories	job	last	will	gets	other	know	january	because	lead	stay	getting	own	apps	made	happen
Joho the Blog	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	3	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0	0	1	1	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	0	0	0	1	0	0	1	0	0	1	1	0	2	0	0	0	0	0	1	0
ongoing by Tim Bray	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	2	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	2	0	1	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	4	0	3	0	0	0	0	0	0	2	0	1	1	0	1	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	4	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	2	0	0	0	1	0	3	1	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	3	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	1	1	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	1	0
The Viral Garden	5	10	3	1	6	0	4	34	4	9	4	8	5	2	4	1	8	1	8	2	6	13	36	2	1	7	1	2	1	2	5	4	4	1	23	8	0	2	6	14	0	0	1	2	0	1	2	0	7	11	15	23	0	18	0	7	9	4	2	5	26	3	1	1	9	3	5	1	3	2	9	13	8	6	12	6	12	9	0	5	4	10	2	8	0	24	0	0	1	10	9	5	5	3	6	1	1	10	10	20	2	0	16	5	5	4	0	10	13	3	7	1	1	14	0	8	0	7	0	3	0	3	17	2	7	3	0	3	20	11	0	5	1	0	11	5	3	1	17	0	8	1	0	50	6	8	1	39	3	22	0	2	3	0	23	41	5	0	73	28	2	4	3	3	1	9	3	14	0	2	22	6	2	1	4	6	7	9	8	16	2	2	2	2	10	26	122	2	10	2	31	13	11	14	7	1	25	5	0	1	1	11	3	28	3	10	4	0	6	0	0	3	8	0	5	11	11	6	8	1	8	0	1	1	7	2	3	3	0	0	15	5	10	3	2	14	0	8	0	1	3	1	3	0	8	8	2	0	3	1	0	5	8	5	0	14	8	71	1	9	2	17	11	29	18	3	10	1	11	10	5	9	6	10	5	7	1	15	7	4	0	4	14	16	2	3	13	0	0	3	0	3	7	69	20	9	1	1	1	1	2	0	0	1	11	0	4	12	1	4	2	0	5	4	1	13	30	26	3	0	33	5	5	24	0	0	1	8	2	3	10	22	4	3	16	3	8	2	0	2	3	5	0	0	3	8	8	6	0	12	2	4	0	1	15	3	6	7	1	6	24	9	0	3	6	2	6	11	13	4	7	0	0	8	0	9	19	20	2	3	1	11	4	17	21	2	0	0	4	3	11	1	10	5	1	2	2	1	1	1	13	1	1	30	0	56	1	5	14	5	3	9	6	8	4	6	6	8	5	0	0	0	1	1	10	134	0	1	7	19	40	7	0	4	4	10	2	3	2	0	8	11	1	7	8	3	16	7	2	3	46	9	41	0	1	0	12	0	1	1	7	2	0	2	0	2	8	2	6	0	0	6	19	0	4	10	3	2	1	0	22	10	0	5	1	6	2	72	21	15	24	0	0	1	5	3	1	14	50	1	17	18	1	40	2	3	7	25	0	7	3
SpikedHumor - Today's Videos and Pictures	0	0	6	0	2	1	0	1	0	0	2	0	0	0	2	0	6	0	0	2	1	1	5	0	0	0	2	1	1	0	1	0	1	0	1	1	0	0	2	0	0	1	1	0	2	2	1	0	1	0	0	2	2	1	1	4	0	1	0	0	2	1	0	2	1	0	0	0	2	0	0	0	0	0	7	0	2	1	2	0	0	3	3	0	4	4	1	0	1	0	0	0	1	0	1	0	0	2	0	0	0	5	2	2	1	0	15	2	1	1	0	0	0	0	0	1	0	0	1	0	4	1	1	1	1	0	0	0	2	1	0	0	0	0	0	3	0	1	2	0	3	1	0	3	1	3	0	2	1	6	0	0	1	2	0	3	0	0	3	2	0	1	1	2	3	0	0	2	1	1	0	3	0	0	0	0	0	1	0	0	2	1	0	0	1	1	0	4	0	1	4	0	0	0	0	0	0	0	2	4	1	0	0	0	1	2	3	3	3	0	0	0	0	1	0	0	2	0	1	5	3	0	0	1	0	0	0	1	0	5	2	2	0	0	0	1	0	0	0	0	1	0	2	0	2	1	1	0	0	3	3	1	0	1	0	0	1	0	0	0	1	7	0	0	5	3	1	1	1	0	1	2	1	0	0	2	2	0	0	0	0	0	3	1	0	0	3	0	0	0	1	3	1	1	2	2	2	0	0	0	3	0	0	0	2	0	3	1	4	2	2	0	1	2	0	0	2	2	1	0	0	5	0	4	0	1	0	0	1	0	2	2	0	0	0	1	0	0	4	0	1	0	3	1	1	0	1	0	0	1	0	0	2	0	0	1	0	7	0	0	2	0	4	2	0	0	0	0	1	0	0	0	0	1	1	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	3	0	0	2	2	5	1	3	0	0	0	1	1	5	2	2	3	0	0	102	0	1	0	2	1	0	1	13	0	1	4	0	1	0	0	0	0	0	0	1	2	0	0	0	0	2	2	0	0	0	0	2	1	0	1	0	1	0	1	0	2	3	1	0	0	0	9	0	0	0	2	1	0	0	1	0	2	0	5	3	1	2	0	0	1	1	0	3	0	3	4	0	1	1	1	1	0	4	5	2	2	4	0	3	0	1	0	0	1	0	0
Home - SearchEngineWatch	0	0	0	0	0	0	0	0	0	0	5	0	1	0	1	0	5	0	0	0	0	1	1	0	1	0	1	0	3	0	4	1	0	1	1	2	2	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	5	4	0	0	0	1	0	0	0	1	2	1	1	0	1	1	1	3	7	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	10	0	0	0	1	1	0	3	1	7	0	0	3	0	4	0	2	2	1	0	2	0	0	0	0	0	0	0	0	0	1	0	4	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	1	2	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	1	2	2	0	3	0	0	0	0	3	0	0	1	0	0	1	0	3	0	1	4	1	1	10	1	0	0	3	0	0	0	0	0	2	0	0	2	0	2	0	0	1	1	5	1	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	4	0	1	0	1	0	3	0	0	0	3	0	0	3	1	3	1	0	3	0	0	0	1	0	0	1	2	1	1	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	3	1	0	0	4	3	0	0	0	2	1	0	0	0	1	0	3	0	4	0	4	5	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	1	0	0	0	1	0	5	0	0	0	0	0	0	4	0	0	0	1	0	0	0	2	0	0	1	2	0	28	0	0	3	0	0	1	3	0	0	0	0	0	1	0	0	11	1	2	0	0	0	0	0	0	0	0	0	0	0	33	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	4	0	0	2	6	0	1	1	0	3	0	0	0	1	2	0	0	0	0	0	0	4	0	0	1	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	2	0	1	0	5	1	0	0	1	1	1	1	4	3	1	1	0	5	0	0	1	0	0	6	0	3	2	0	1	0	0	2	2	0	1	0
kottke.org	5	0	2	1	15	1	1	3	1	4	5	1	0	0	1	2	24	0	7	3	1	7	7	0	0	3	5	0	0	2	1	0	6	3	0	2	3	4	14	4	3	2	0	0	0	3	3	0	1	3	2	8	8	6	1	1	0	17	4	12	3	1	5	7	2	3	5	5	1	2	16	4	0	1	7	0	5	4	4	3	1	10	2	2	1	12	8	5	4	0	2	1	1	2	3	1	1	11	2	3	1	1	6	1	2	1	16	1	4	0	1	2	1	1	10	5	0	1	1	0	0	2	2	0	2	2	2	0	3	2	1	5	0	0	3	1	5	1	5	3	5	1	0	3	0	6	5	9	2	0	2	0	0	0	0	2	3	15	4	12	8	1	4	1	1	4	0	7	3	4	7	8	2	4	0	2	0	18	0	13	6	0	2	0	3	7	2	3	0	6	2	2	0	0	0	2	5	2	2	4	4	1	2	0	6	1	0	1	6	0	2	1	9	6	1	0	3	1	0	1	3	3	7	1	2	2	0	0	1	0	3	2	0	0	0	1	0	0	5	3	1	1	0	4	4	1	1	0	1	11	6	2	0	1	0	8	0	1	6	0	7	11	1	1	7	2	3	0	1	1	5	5	2	5	3	5	1	0	7	2	0	2	2	5	3	2	8	0	0	5	2	0	0	11	7	1	0	0	1	0	2	3	0	2	3	2	2	6	0	0	0	188	0	6	3	7	1	9	5	0	9	9	0	2	2	0	2	0	2	1	4	5	2	0	4	1	1	0	0	2	2	2	3	2	0	14	2	0	2	1	2	5	4	0	4	4	1	6	1	0	14	1	2	0	1	1	0	1	1	1	0	0	0	1	0	3	1	6	0	3	4	1	6	3	4	2	0	2	0	4	2	1	0	0	3	2	5	2	2	1	5	2	1	19	1	10	5	2	13	2	10	1	3	0	7	3	1	2	2	5	11	0	1	2	5	2	2	3	1	5	14	1	0	9	1	0	0	0	1	4	6	0	1	2	2	1	9	2	2	2	0	1	15	0	1	1	3	0	4	4	3	3	1	6	1	2	13	0	3	0	1	1	0	1	4	0	2	0	0	0	4	4	1	0	0	5	1	11	20	11	7	1	0	2	1	0	2	6	6	2	12	6	0	3	0	0	2	5	1	4	1
456 Berea Street	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	1	0	1	0	1	0	2	2	1	0	0	1	0	0	0	1	0	1	0	0	5	0	2	1	1	0	2	0	0	0	0	0	1	1	1	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	12	0	1	0	0	0	8	3	1	3	0	2	0	1	0	4	3	4	0	0	0	0	10	1	0	0	4	0	0	1	0	1	0	0	1	2	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	5	2	0	2	6	0	0	6	0	0	2	0	3	1	0	3	0	1	0	6	0	0	0	0	0	0	3	3	0	0	2	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	1	0	0	1	0	1	3	0	0	0	0	8	0	0	1	1	0	1	0	0	0	0	1	0	0	4	0	1	0	1	0	0	0	0	0	0	1	0	1	0	6	2	4	4	0	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	1	0	0	0	0	1	5	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	4	2	1	0	0	1	0	2	0	0	0	0	0	3	4	0	0	1	1	0	1	0	0	1	0	1	0	0	0	9	5	0	0	0	0	0	4	0	0	0	0	0	3	5	0	1	1	0	0	0	0	0	3	0	0	1	3	1	1	1	0	0	1	0	1	0	1	1	7	0	2	0	0	3	0	0	0	1	0	0	0	2	1	2	0	0	1	1	0	0	0	1	3	2	0	0	2	1	0	0	0	0	0	2	0	0	0	0	1	5	0	2	1	9	0	0	2	0	0	0	0	0	10	0	0	0	4	0	2	0	0	0	0	0	0	0	3	0	0	0	0	2	1	0	3	0	2	0	0	1	2	3	0	0	1	0	0	2	3	1	1	0	0	0	0	5	9	0	0	0	0	0	0	0	0	0	5	2	0	1	1	0	2	0	0	0	0	0	7	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	1	0	1	2	0	0	0	3	3	1	0	0	0	0	0	0	1	1	5	1	0	0	0	1	0	0	1	1	0	0	0
Signal vs. Noise	2	3	2	1	0	0	3	4	0	0	6	3	1	4	3	1	3	2	3	3	10	6	21	3	0	4	1	1	1	0	8	2	2	4	0	1	5	0	8	7	2	0	3	2	0	2	0	0	4	9	5	8	0	5	0	8	0	2	1	19	1	7	0	0	0	1	5	1	1	0	1	8	4	0	6	2	5	4	3	0	0	9	1	3	3	10	0	1	1	0	3	1	1	1	9	0	5	6	8	0	0	0	5	2	0	3	1	2	4	6	1	4	0	1	0	9	0	2	1	0	0	1	3	0	2	1	0	2	14	1	3	2	5	1	2	3	3	2	8	0	11	4	5	10	0	8	0	5	3	0	3	1	0	0	1	3	3	0	8	7	1	1	0	0	1	3	0	6	2	0	10	1	0	2	0	0	2	6	4	10	1	1	3	2	1	4	1	2	0	2	1	7	3	5	2	4	3	4	3	1	1	0	2	0	2	0	2	0	5	4	1	0	4	1	1	1	1	4	3	4	2	1	4	0	3	0	2	2	0	2	3	2	0	0	6	9	1	1	6	1	0	0	4	0	4	1	1	1	1	22	1	1	0	0	0	0	1	1	1	2	0	6	10	3	8	1	6	0	4	5	2	3	0	6	1	4	1	3	4	1	0	4	8	12	1	1	4	2	0	3	1	3	5	14	13	0	1	0	6	1	10	0	0	0	9	0	5	2	0	2	3	0	0	2	1	2	3	11	2	1	11	0	6	5	0	1	1	1	0	1	3	6	2	0	4	3	2	2	0	0	4	1	1	2	0	12	4	0	1	0	3	1	1	2	3	1	4	0	2	2	4	1	0	1	1	3	1	0	0	2	1	0	0	2	0	1	4	1	2	0	3	1	1	4	10	0	0	0	0	5	3	3	0	0	0	2	3	4	1	0	5	1	1	14	0	18	0	3	6	10	4	4	0	5	0	7	2	3	0	1	0	0	0	1	2	1	3	5	0	5	19	2	7	0	1	1	2	2	1	0	7	1	1	2	2	5	4	1	3	2	5	3	11	0	5	0	1	6	0	1	3	4	0	5	5	2	5	0	5	2	0	4	4	2	1	2	3	2	1	18	9	15	2	5	1	31	0	9	6	10	5	2	2	2	0	1	0	1	6	0	12	8	0	5	0	0	5	4	4	7	0
Joel on Software	4	0	1	0	0	3	4	21	0	1	23	1	0	2	6	2	1	2	8	1	21	9	11	4	3	4	4	1	3	0	11	0	2	4	0	1	0	0	6	8	2	5	3	10	1	1	1	0	5	8	11	7	0	6	0	10	0	4	0	0	2	1	2	0	2	3	4	0	2	2	0	8	1	0	2	3	6	15	3	5	0	4	0	4	1	8	1	4	3	1	5	0	1	1	2	4	2	12	6	0	4	2	9	0	0	3	0	5	26	9	6	13	1	4	0	12	0	8	15	1	1	5	6	1	2	5	0	2	6	1	2	2	4	2	0	1	1	2	19	0	3	1	4	17	3	0	0	23	1	0	0	0	0	2	0	4	9	0	38	12	1	3	2	1	0	2	1	4	4	0	9	1	0	2	2	2	3	16	2	5	4	0	1	1	10	7	0	2	0	2	16	8	1	12	7	3	8	0	2	0	0	5	2	1	5	1	2	0	6	0	0	4	1	1	1	1	2	9	4	7	9	2	6	0	2	1	2	9	0	0	10	2	0	2	2	3	8	0	40	0	1	0	5	16	5	14	3	2	1	0	0	2	0	0	0	4	1	2	1	2	0	1	0	12	16	2	10	4	3	2	1	5	0	8	1	2	3	0	1	4	0	2	18	5	4	5	2	0	0	9	3	0	3	28	16	1	1	2	1	0	6	0	0	0	4	1	5	7	0	3	1	18	1	2	0	8	8	14	8	2	11	0	3	27	2	0	0	2	0	0	9	7	9	11	4	18	0	4	0	0	0	1	0	4	6	12	0	2	1	1	7	3	0	5	7	3	1	2	0	6	12	10	0	1	7	2	1	1	3	1	2	3	8	8	3	3	4	10	0	3	0	1	1	8	10	0	0	0	0	3	6	0	7	2	3	1	4	4	0	1	23	0	2	9	1	10	1	2	8	4	5	10	11	4	1	8	1	1	4	1	1	1	0	3	2	2	11	0	1	6	19	1	5	7	0	0	1	0	1	1	17	7	0	5	3	1	5	1	5	1	5	4	21	1	0	0	6	10	1	3	14	4	1	2	9	0	0	1	1	0	0	0	6	2	8	7	2	0	1	3	7	9	3	0	1	14	0	17	28	11	7	2	0	4	2	0	15	2	16	1	10	9	0	13	2	0	7	4	0	4	1
Boing Boing	0	0	1	1	1	2	0	1	0	2	2	0	0	0	0	1	3	1	1	0	2	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	17	1	1	3	0	1	0	0	0	1	2	0	0	0	0	0	3	0	1	1	1	0	0	0	0	0	1	1	1	1	0	3	0	0	0	1	18	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	3	2	3	0	0	0	0	0	3	2	0	0	0	1	1	0	0	1	1	1	0	0	2	0	0	0	0	0	1	0	0	0	1	0	1	0	0	2	0	0	1	3	0	1	2	1	1	1	0	0	0	3	2	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	2	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	2	0	0	0	6	0	0	0	0	0	2	1	3	0	1	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	3	2	0	1	0	1	0	1	1	0	0	1	0	1	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	1	0	0	1	0	0	0	1	0	0	0	4	0	0	0	0	2	1	0	1	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	2	0	0	1	1	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	5	2	4	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0
flagrantdisregard	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	1	0	0	1	2	1	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	0	3	0	5	5	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0
Pharyngula	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
